Date,"Advertiser ID","Advertiser Name","Campaign ID","Campaign Name","Order ID","Order Name","Creative ID","Creative Name","Creative Preview URL",Impressions,Clicks,"25% Viewed","50% Viewed","75% Viewed","100% Viewed","Media Cost","Data Cost","Client Cost"
2016-05-20,9447,"Findlay Chevrolet-KLAS",3390,April-June2016,5790,"May 2016",9025,findlay_may2016_2_h264,https://platform.yashi.com/advertiser/creatives/preview/df240fee292eb25aa0c75f02677c07ddf7ae1c3548c279b8ba4b8088f1c06edf,2646,0,2257,2255,2118,2000,22.2132,4.2113,66.15
2016-05-20,9447,"Findlay Chevrolet-KLAS",3390,April-June2016,6311,"May 2016_Mobile",9291,"Findlay Chevrolet-KLAS",https://platform.yashi.com/advertiser/creatives/preview/0277e90f615662777e5826f425719936f9ebce450b902ca29c60e26397c9916a,11411,22,7510,6899,6398,5791,104.3596,0.0000,0
2016-05-20,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5827,"April-July Mobile",8484,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/bd60a5119ecddbd2a491d1072d96c313ff9b1adf0bb46de5c313709d67b99164,1636,5,771,717,675,627,16.1967,0.0000,40.9
2016-05-20,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5825,"April-July Desktop",8483,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/e9345b0d9db8a2e400569f98f401da60761b3c0d079804b27c7cd58b9b3eafa0,1526,0,1391,1383,1326,1248,12.0760,3.0090,38.15
2016-05-20,9624,"Sioux Center Health-KCAU",3762,"Sioux Center Health-KCAU-Video-May16-Apr17",6367,"Sioux Center Health-KCAU-Video-May16-Apr17",9391,"Sioux Center Health 09-SCH-6015 Continuum of Care revised",https://platform.yashi.com/advertiser/creatives/preview/6f28431e30283aec07adf7051caef2bb2389a28ba6b7cacf1c9172f8e034e42c,418,0,378,361,346,318,3.1441,0.5670,20.9
2016-05-20,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9379,"amarillo email 5.19.16",https://platform.yashi.com/advertiser/creatives/preview/1edc4b60a36122ca1f6f238cea3ad22355868ab8e377c61c4207f9ba9390ebed,87,1,74,70,65,61,0.6681,0.0000,0
2016-05-20,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9378,"amarillo Starlight ",https://platform.yashi.com/advertiser/creatives/preview/4b87fd8503c0fb3cec975d17cfa2161cc4054af69276ec6bd3b924b81d92af91,105,3,89,82,77,74,0.8357,0.0000,0
2016-05-20,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9377,"amarillo Lifeguard ",https://platform.yashi.com/advertiser/creatives/preview/4b8accf1057e32e38a4469190930edf869ba0c4113fa8d81388811979ce7f5c5,77,1,67,64,59,54,0.5951,0.0000,0
2016-05-20,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9376,"Amarillo Summer Lunch 30",https://platform.yashi.com/advertiser/creatives/preview/aaf7b291985c45cac0f72ef3fe79bfcf5e7bb583f06f59cce3d378a4d292401a,91,1,75,67,67,58,0.6982,0.0000,0
2016-05-20,9608,"Maddie's Motor Sports-WROC",3728,"Maddies Motorsports_May-Dec16",6300,Maddies_MobileVideo_May-Dec2016,9278,"Maddies MadMax Web 5.16.16",https://platform.yashi.com/advertiser/creatives/preview/7f83b705b452983b97084691e5df19c14bf7493924840ae9e925fdb2cee908fd,1729,9,1005,931,854,741,13.4878,0.0000,34.58
