Date,"Advertiser ID","Advertiser Name","Campaign ID","Campaign Name","Order ID","Order Name","Creative ID","Creative Name","Creative Preview URL",Impressions,Clicks,"25% Viewed","50% Viewed","75% Viewed","100% Viewed","Media Cost","Data Cost","Client Cost"
2016-05-30,9646,"Mr. Antenna-KLAS",3791,"Mr. Antenna-KLAS-Video-May-June16",6425,"Mr. Antenna-KLAS-Video-May-June16",9546,"Mr Antenna",https://platform.yashi.com/advertiser/creatives/preview/b92371f9d29b21cc3cb4e2a362e28c2fa00ced019da3f88b8e682852816c105d,1390,1,1237,1140,1001,856,8.9025,2.6072,34.75
2016-05-30,9566,"Chapman Dodge Chrysler Jeep Ram-KLAS",3652,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",6188,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",9142,"Champion Dodge Yes You May 5000 5.10.16",https://platform.yashi.com/advertiser/creatives/preview/4a5307f0c6810e7c6d5091c01009cff256f66a628ca3f6fa7e8a7b0bcfdf9e8f,2116,2,1820,1784,1701,1581,14.2857,2.4408,52.9
2016-05-30,9567,"Henderson Hyundai-KLAS",3655,"Henderson Hyundai-KLAS-Video-May-July16",6190,"Henderson Hyundai-KLAS-Video-May-July16",9039,"HH_ElantraThon REVISED_HD",https://platform.yashi.com/advertiser/creatives/preview/3f6f50d97c02058a38cd761c2c332fb070bf4be147d9f5044f7165047e38e921,9779,0,9077,8465,7855,7042,68.8773,10.9712,244.475
2016-05-30,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6481,"DerrelsMiniStorage_May2016_Fresno-Visalia DMA",9640,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/4dd3f13e227dcbc80564fe50dc037dc4f0885109d528e9b30e63ecf2fca74a9d,28984,76,18431,16326,14805,13270,200.0840,0.0000,0
2016-05-30,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6482,"DerrelsMiniStorage_May2016_Bakersfield DMA",9641,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/93501a7cb90abc9ba544688fdfa1733f964fc1190cf6ea34b182ba7ef5a7c765,19835,38,11979,10812,9856,8918,139.7628,0.0000,0
2016-05-30,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6483,"DerrelsMiniStorage_May2016_Modesto, Merced_Stockton",9642,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/6a6f36784b5ea71ecab043f900728db277ee7d9f9fee0a6a461e3d813976192e,24412,40,15625,14104,12729,11327,172.1287,0.0000,0
2016-05-30,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9260,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/1c1e5b8aa1b3072654f91245adbc3d4de1efb5b669cae9aa048b6b835fc42c0f,3,0,2,2,2,2,0.0176,0.0065,0.075
2016-05-30,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9259,NAT-OUT-PREROLL-8,https://platform.yashi.com/advertiser/creatives/preview/6cfd9a827655c3cdd16912b14a82f648a74cb7bb87838898243bc40e2770cc97,0,0,0,1,1,1,0.0000,0.0000,0
2016-05-30,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9257,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/4220568ab9f8ce0b9d78c35be4a06e2a7053c18b073cc17694aaad97b7080a48,3,0,3,3,3,3,0.0162,0.0060,0.075
2016-05-30,9651,"Wireless Connections-KODE",3801,"Wireless Connections-KODE-Video-May-June16",6434,"Wireless Connections-KODE-Video-6zips-May-June16",9564,"Wireless Connections - Seneca",https://platform.yashi.com/advertiser/creatives/preview/f97e0700743c594ff01b34c2584606e1aa2dff40f649e119a75da00838ae5aa6,49,0,40,41,39,36,0.3790,0.0676,1.96
