Date,"Advertiser ID","Advertiser Name","Campaign ID","Campaign Name","Order ID","Order Name","Creative ID","Creative Name","Creative Preview URL",Impressions,Clicks,"25% Viewed","50% Viewed","75% Viewed","100% Viewed","Media Cost","Data Cost","Client Cost"
2016-05-27,9646,"Mr. Antenna-KLAS",3791,"Mr. Antenna-KLAS-Video-May-June16",6425,"Mr. Antenna-KLAS-Video-May-June16",9546,"Mr Antenna",https://platform.yashi.com/advertiser/creatives/preview/b92371f9d29b21cc3cb4e2a362e28c2fa00ced019da3f88b8e682852816c105d,1394,2,1226,1133,1055,930,10.3821,2.6090,34.85
2016-05-27,9566,"Chapman Dodge Chrysler Jeep Ram-KLAS",3652,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",6188,"Chapman Dodge Chrysler Jeep Ram-KLAS-Video-May-July16",9142,"Champion Dodge Yes You May 5000 5.10.16",https://platform.yashi.com/advertiser/creatives/preview/4a5307f0c6810e7c6d5091c01009cff256f66a628ca3f6fa7e8a7b0bcfdf9e8f,3931,3,3431,3362,3203,3028,30.3602,4.6430,98.275
2016-05-27,9567,"Henderson Hyundai-KLAS",3655,"Henderson Hyundai-KLAS-Video-May-July16",6190,"Henderson Hyundai-KLAS-Video-May-July16",9039,"HH_ElantraThon REVISED_HD",https://platform.yashi.com/advertiser/creatives/preview/3f6f50d97c02058a38cd761c2c332fb070bf4be147d9f5044f7165047e38e921,11326,4,10305,9681,9145,8344,90.1614,13.2767,283.15
2016-05-27,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6481,"DerrelsMiniStorage_May2016_Fresno-Visalia DMA",9640,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/4dd3f13e227dcbc80564fe50dc037dc4f0885109d528e9b30e63ecf2fca74a9d,39052,93,24891,22377,20129,18270,294.4010,0.0000,0
2016-05-27,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6482,"DerrelsMiniStorage_May2016_Bakersfield DMA",9641,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/93501a7cb90abc9ba544688fdfa1733f964fc1190cf6ea34b182ba7ef5a7c765,15668,48,9761,8756,7966,7247,115.7212,0.0000,0
2016-05-27,9659,"Derrel's Mini Storage-KSEE",3829,DerrelsMiniStorage_May2016,6483,"DerrelsMiniStorage_May2016_Modesto, Merced_Stockton",9642,"Derrels May 2016",https://platform.yashi.com/advertiser/creatives/preview/6a6f36784b5ea71ecab043f900728db277ee7d9f9fee0a6a461e3d813976192e,19109,48,12562,11256,10222,9325,142.0972,0.0000,0
2016-05-27,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9260,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/1c1e5b8aa1b3072654f91245adbc3d4de1efb5b669cae9aa048b6b835fc42c0f,1129,3,959,952,890,818,8.3059,2.0216,28.225
2016-05-27,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9259,NAT-OUT-PREROLL-8,https://platform.yashi.com/advertiser/creatives/preview/6cfd9a827655c3cdd16912b14a82f648a74cb7bb87838898243bc40e2770cc97,1185,0,1025,1035,975,905,8.9385,2.1122,29.625
2016-05-27,9604,"Nature's Outlet-WFXR",3721,"Nature's Outlet-WFXR-Video-May16",6290,"Nature's Outlet-WFXR-Video-May16",9257,NAT-OUT-PREROLL-2,https://platform.yashi.com/advertiser/creatives/preview/4220568ab9f8ce0b9d78c35be4a06e2a7053c18b073cc17694aaad97b7080a48,1209,4,1040,1008,944,877,8.9968,2.1773,30.225
2016-05-27,9651,"Wireless Connections-KODE",3801,"Wireless Connections-KODE-Video-May-June16",6434,"Wireless Connections-KODE-Video-6zips-May-June16",9564,"Wireless Connections - Seneca",https://platform.yashi.com/advertiser/creatives/preview/f97e0700743c594ff01b34c2584606e1aa2dff40f649e119a75da00838ae5aa6,85,0,74,71,69,63,0.6083,0.1262,3.4
2016-05-27,9651,"Wireless Connections-KODE",3801,"Wireless Connections-KODE-Video-May-June16",6435,"Wireless Connections-KODE-Video-radius-May-June16",9565,"Wireless Connection general udated 5-24-16",https://platform.yashi.com/advertiser/creatives/preview/9661aa5130db3ad7008cfdce6ae9ca071da7a3965ca7f7f9986dc3c403401cc9,584,1,514,495,456,414,4.2596,0.8805,23.36
2016-05-27,9608,"Maddie's Motor Sports-WROC",3728,"Maddies Motorsports_May-Dec16",6300,Maddies_MobileVideo_May-Dec2016,9278,"Maddies MadMax Web 5.16.16",https://platform.yashi.com/advertiser/creatives/preview/7f83b705b452983b97084691e5df19c14bf7493924840ae9e925fdb2cee908fd,1794,5,909,838,770,712,16.6592,0.0000,35.88
2016-05-27,9608,"Maddie's Motor Sports-WROC",3728,"Maddies Motorsports_May-Dec16",6301,Maddies_DesktopVideo_May-Dec16,9279,"Maddies MadMax Web 5.16.16",https://platform.yashi.com/advertiser/creatives/preview/d31d9e7bebc625af352addb89348fae627f771895f3d82c2ceafbf71c124fc4e,1498,0,1373,1358,1302,1240,11.3567,2.6524,29.96
2016-05-27,9645," Wagon Trail RV-KLAS",3788,"Wagon Trail RV-KLAS_May-July2016",6423,WagonTrailRV_May-July_Desktop,9544,"Wagon Trail RV ",https://platform.yashi.com/advertiser/creatives/preview/554fa7392a3b4bdd1f58ae84a23b349068eac3779b57bb041318efd9bb9949ec,815,0,748,730,704,679,6.5205,1.1620,20.375
2016-05-27,9645," Wagon Trail RV-KLAS",3788,"Wagon Trail RV-KLAS_May-July2016",6422,WagonTrailRV_May-July2016_Mobile,9543,"Wagon Trail RV ",https://platform.yashi.com/advertiser/creatives/preview/ae93aa80c116ee885f4faaae35e775b1bb7944ffc5952b5d2cb5164e79a5ffcb,631,3,322,298,284,268,5.8351,0.0000,15.775
2016-05-27,9656,"Central Valley Crime Stoppers-KSEE",3802,"Central Valley Crime Stoppers_May2016",6437,CentralValleyCrimeStoppers_May2016Video,9568,"Central Valley Crime Stoppers May",https://platform.yashi.com/advertiser/creatives/preview/646a135d72067744a334416841d96b8cf476a279644aa25fa5d2ebe1ee25fb9e,3281,6,1936,1749,1642,1503,27.7263,0.0000,65.62
2016-05-27,8876,"Hometown Choice",3742,HTCDG-WaynesAppliance-May16,6342,Waynes_May2016,9585,"Waynes May Restonic",https://platform.yashi.com/advertiser/creatives/preview/2d81b99667b11fc07fda4723bdacef6d0336429f250f2e1bcf086c70d2296d39,151,3,112,99,92,82,1.2469,0.0000,3.2465
2016-05-27,8876,"Hometown Choice",3742,HTCDG-WaynesAppliance-May16,6342,Waynes_May2016,9584,"Waynes May electrolux",https://platform.yashi.com/advertiser/creatives/preview/61f46c17861a1b565a72363644e0bbc994c51c75e77a8b346160fc68c41468d6,142,2,105,100,91,85,1.1859,0.0000,3.053
2016-05-27,8876,"Hometown Choice",3742,HTCDG-WaynesAppliance-May16,6342,Waynes_May2016,9343,"Waynes Appliance Center May",https://platform.yashi.com/advertiser/creatives/preview/4e812297142eb9dd59b73dd02f7e184d23d6aacaea744230d011d2a58545fec6,1,1,1,1,1,1,0.0110,0.0000,0.0215
2016-05-27,8876,"Hometown Choice",3745,HTCDG-Fischer'sFurniture-May16,6343,Fischer's_May2016,9344,"Fisher Tell City May 2016",https://platform.yashi.com/advertiser/creatives/preview/fbb741c9d24fc6c082027319c6dc05d45cf274a8c121cc2f70f1c7be84cc0d9e,1600,3,1066,910,802,713,13.5683,0.0000,34.4
2016-05-27,8876,"Hometown Choice",3746,Dixons-May16,6344,Dixons_May_2016,9345,"Dixons May 2016",https://platform.yashi.com/advertiser/creatives/preview/3b1cffa09fa21123f1218cc7531e9c278ef9a19e5c329352201514b74f8a75fd,1613,11,1235,1156,1088,989,13.5022,0.0000,34.6795
2016-05-27,8876,"Hometown Choice",3767,BaldwinAppliance_May16,6373,40%_Baldwin_Mayl2016,9403,BaldwinAppliance_May16,https://platform.yashi.com/advertiser/creatives/preview/4efc2a6cff6cf641f67daa9c610c7201e59095587ea6aaef8684445af29e8198,2219,10,1451,1283,1149,1002,17.8011,0.0000,47.7085
2016-05-27,8876,"Hometown Choice",3767,BaldwinAppliance_May16,6372,60%_BaldwinsAppliance_May2016,9402,HTCDG-BaldwinAppliance_April16,https://platform.yashi.com/advertiser/creatives/preview/2044ea77d959f08ee64b2700604f6aaf335c23035fb2ce70bb9ace0edcb42107,1430,6,1094,1021,956,869,11.6695,0.0000,30.745
2016-05-27,8876,"Hometown Choice",3768,GreenRiverAppliance-May16,6374,GreenRiverAppliance_May2016,9407,"Green River_may2016 ",https://platform.yashi.com/advertiser/creatives/preview/3da2a3d6ebc422611676e5e7e9e4e51e244ed70407a4f97c574a863ff787ddb5,1864,2,948,830,734,653,14.8230,0.0000,40.076
2016-05-27,9648,"Landers McLarty DCJ Huntsville-WZDX",3792,"Landers McLarty DCJ Huntsville-WZDX-Video-May-June16",6426,"Landers McLarty DCJ Huntsville-WZDX-Video-May-June16",9547,Fiat-Huntsville-Bold-BOLD-01161-5202016,https://platform.yashi.com/advertiser/creatives/preview/5a7460273d483574b1da8e138044512a69357a6d8998668886e26ef7f39510d6,3709,14,1688,1441,1234,1115,27.6017,0.0000,70.471
2016-05-27,9638,"Cox Funeral Home-KAMR",3789,"Cox Funeral Home-KAMR-Video-May16-17",6424,"Cox Funeral Home-KAMR-Video-May16-17",9545,Cox-Funeral-Home-HD_web_big,https://platform.yashi.com/advertiser/creatives/preview/f13f91f8c258c1bc307acb05f58ac954d627bf4f11b3cbdf5e4576aade98f4ee,315,1,286,275,242,213,2.3155,0.6177,12.6
2016-05-27,9571,"America First Credit Union-KLAS",3664,"May-July 2016",6198,"May-July 2016-Mobile",9055,"American First Credit Union",https://platform.yashi.com/advertiser/creatives/preview/458890ac6792463e9c854e53fdbb97a12694055d1bf9f4ce916f32aa04b66ee0,1677,6,719,624,555,503,12.6597,0.0000,41.925
2016-05-27,9571,"America First Credit Union-KLAS",3664,"May-July 2016",6199,"May-July 2016-Desktop",9056,"American First Credit Union",https://platform.yashi.com/advertiser/creatives/preview/9857d728f79299c54c28e590233632568c16a88601ade1603b5bf21039d0e546,1638,1,1455,1401,1368,272,12.6700,0.0000,40.95
2016-05-27,9563,"Rolladen Rolling Shutters-KLAS",3651,"Rolladen Rolling Shutters-KLAS-Video-May-July16",6187,"Rolladen Rolling Shutters-KLAS-Video-May-July16",9036,"Rolladen - Fire Sense Control HD(1)",https://platform.yashi.com/advertiser/creatives/preview/ee77d33bf788118afa532fa61647295ff6782554da0b361deab7749c50020ad9,3169,1,2757,2560,2361,2067,23.6919,4.1670,79.225
2016-05-27,9447,"Findlay Chevrolet-KLAS",3390,April-June2016,6311,"May 2016_Mobile",9291,"Findlay Chevrolet-KLAS",https://platform.yashi.com/advertiser/creatives/preview/0277e90f615662777e5826f425719936f9ebce450b902ca29c60e26397c9916a,12206,25,6217,5817,5492,5109,105.2710,0.0000,0
2016-05-27,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5827,"April-July Mobile",8484,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/bd60a5119ecddbd2a491d1072d96c313ff9b1adf0bb46de5c313709d67b99164,1640,3,744,669,612,541,12.6267,0.0000,41
2016-05-27,9455,"Glidewell Distribution-KNWA",3414,"April 11-July 11 2016",5825,"April-July Desktop",8483,"Glidewell Distribution Video 4.11.16",https://platform.yashi.com/advertiser/creatives/preview/e9345b0d9db8a2e400569f98f401da60761b3c0d079804b27c7cd58b9b3eafa0,3667,0,3505,3487,3403,3196,28.0156,7.8738,91.675
2016-05-27,9624,"Sioux Center Health-KCAU",3762,"Sioux Center Health-KCAU-Video-May16-Apr17",6367,"Sioux Center Health-KCAU-Video-May16-Apr17",9391,"Sioux Center Health 09-SCH-6015 Continuum of Care revised",https://platform.yashi.com/advertiser/creatives/preview/6f28431e30283aec07adf7051caef2bb2389a28ba6b7cacf1c9172f8e034e42c,417,0,357,343,328,309,3.0847,0.5315,20.85
2016-05-27,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9379,"amarillo email 5.19.16",https://platform.yashi.com/advertiser/creatives/preview/1edc4b60a36122ca1f6f238cea3ad22355868ab8e377c61c4207f9ba9390ebed,65,1,44,38,39,34,0.5637,0.0000,0
2016-05-27,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9378,"amarillo Starlight ",https://platform.yashi.com/advertiser/creatives/preview/4b87fd8503c0fb3cec975d17cfa2161cc4054af69276ec6bd3b924b81d92af91,91,1,60,59,54,51,0.7528,0.0000,0
2016-05-27,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9377,"amarillo Lifeguard ",https://platform.yashi.com/advertiser/creatives/preview/4b8accf1057e32e38a4469190930edf869ba0c4113fa8d81388811979ce7f5c5,101,0,69,62,64,57,0.8644,0.0000,0
2016-05-27,9623," Amarillo Parks and Recreations-KAMR",3760,AmarilloParksRec_May-Oct2016,6363,AmarilloParksRec_May-Oct2016,9376,"Amarillo Summer Lunch 30",https://platform.yashi.com/advertiser/creatives/preview/aaf7b291985c45cac0f72ef3fe79bfcf5e7bb583f06f59cce3d378a4d292401a,75,1,41,37,28,23,0.6144,0.0000,0
2016-05-27,9618,"Access 2 mobility-KETK",3753,"Access 2 mobility-KETK-Video-May-Oct16",6355,"Access 2 mobility-KETK-Video-May-Oct16-Mobile",9363,Access2Mobility_TruckAccess,https://platform.yashi.com/advertiser/creatives/preview/54614a6b12844c26c87ba7edcf5148284af82e161d7bf8bc4efad634831f067d,494,8,332,283,256,210,2.9060,0.0000,0
2016-05-27,9618,"Access 2 mobility-KETK",3753,"Access 2 mobility-KETK-Video-May-Oct16",6353,"Access 2 mobility-KETK-Video-May-Oct16",9361,Access2Mobility_TruckAccess,https://platform.yashi.com/advertiser/creatives/preview/7fa74c4def85c7102892ac5fab32d1a1ac2f6a1bd5983a6eb88c77f949a4d092,529,0,458,416,378,328,3.9688,0.6246,0
2016-05-27,9609,"Regalia Manufacturing Company-WHBF",3732,"Regalia Manufacturing_May-Dec2016",6304,Regalia_Mobile_May-Aug2016,9282,"Regalia Manufacturing Company-WHBF",https://platform.yashi.com/advertiser/creatives/preview/f18bc46b456a3670bf3cfe96a013af31a96a2a1121b664c19e48da26f7efb27e,332,0,150,142,128,113,2.8749,0.0000,13.28
2016-05-27,9609,"Regalia Manufacturing Company-WHBF",3732,"Regalia Manufacturing_May-Dec2016",6305,Regalia_Desktop_May-Aug2016,9283,"Regalia Manufacturing Company-WHBF",https://platform.yashi.com/advertiser/creatives/preview/fdfc3c0377d21b321d1b0152bb0cd9dadfcba758efc032d3b7335b3b12b51432,98,2,63,55,55,47,0.7744,0.0000,3.92
2016-05-27,9600,"The Luggage Shop-KLBK",3705,May16-April2017,6261,"Mobile ",9220,"The Luggage Shop-KLBK",https://platform.yashi.com/advertiser/creatives/preview/abf727eed28459cf6b7e4723c2dc360aa9a7b02f8098019b6ff53e7a7ee433b1,869,6,412,365,321,295,6.4488,0.0000,21.725
2016-05-27,9600,"The Luggage Shop-KLBK",3705,May16-April2017,6262,"Desktop Display",9221,"The Luggage Shop-KLBK",https://platform.yashi.com/advertiser/creatives/preview/57007679efd6e42205e2a8840618ec420500e74a29fb17358f02d21b5b37b586,526,1,455,457,428,404,4.2108,0.7679,13.15
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5987,"Roberts Communication-Residential-WROC-Video-FingerLakes-Apr-June16",8765,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/5bb9a947875dad2ce561a7afd1eb8862dc37d7ef36cac948ec1e5f19f8816b03,143,0,126,127,108,104,1.0408,0.2520,2.86
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5982,"Roberts Communication-Residential-WROC-Video-Binghamton-Apr-June16",8755,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/a5d01e60ee4b3a9db32f9c9076de565d7e85e32fb64c5ace760deedacf076965,140,0,123,119,113,97,0.9981,0.2331,2.8
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5985,"Roberts Communication-Residential-WROC-Video-Westchester-Apr-June16",8761,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/5fe32334f047e8afda9840611ff05a5eef3c405a46ff784763904b0dc4aa73c8,340,0,309,295,297,274,2.6754,0.6070,6.8
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5983,"Roberts Communication-Residential-WROC-Video-Elmira-Apr-June16",8757,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/3ce190a7e05cdd61215984a6e4b6cabd3e1c53587c1655e0cccfe6dda42cbb9e,129,1,82,82,78,71,1.0322,0.0000,2.58
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5981,"Roberts Communication-Residential-WROC-Video-Rochester-Apr-June16",8754,RGE_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/edbd5e6b5aae3f6c6d5b21f02ecc7305c9a4850dd448a9bc0f7b6a63875e7b44,447,0,400,388,378,359,3.3147,0.7913,8.94
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5986,"Roberts Communication-Residential-WROC-Video-Plattsburgh-Apr-June16",8763,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/494325274b415c83b39fa4493f53f9b42d22705e5717313ec2e9eedf6d5d5b82,587,0,523,520,510,472,4.1981,1.0523,11.74
2016-05-27,9519,"Roberts Communication-Residential-WROC",3509,"Roberts Communication-Residential-WROC-Video-Apr-June16",5984,"Roberts Communication-Residential-WROC-Video-Sullivan-Apr-June16",8759,NYSEG_CFLBulb_15,https://platform.yashi.com/advertiser/creatives/preview/2528bb5a80cba77fe0c3a656955664fab3a07bcc89103abfe26e9a5574f7c6d7,44,0,43,42,44,39,0.3202,0.0718,0.88
2016-05-27,9436,Chick-Fil-A-WFXR,3365,Chick-Fil-A-WFXR-Danville-Video-Apr-Dec16,5736,Chick-Fil-A-WFXR-Danville-Video-Apr-Dec16,8356,Chick-Fil-A-WFXR-RoanokeSpickySaladSneakyCow_22,https://platform.yashi.com/advertiser/creatives/preview/7bb33d37273664267f47421d3c449691f38962b846de63a8d7e736e87955ca8b,398,2,285,272,251,234,2.7956,0.0000,0
2016-05-27,9436,Chick-Fil-A-WFXR,3365,Chick-Fil-A-WFXR-Danville-Video-Apr-Dec16,5736,Chick-Fil-A-WFXR-Danville-Video-Apr-Dec16,8355,Chick-Fil-A-WFXR-Roanoke0SpickySaladEquations_12,https://platform.yashi.com/advertiser/creatives/preview/601058ec1a41d158fbef213edb6cab208b6b691afe64e308718e5fc082c7be44,345,1,249,245,219,196,2.5055,0.0000,0
2016-05-27,9436,Chick-Fil-A-WFXR,3366,Chick-Fil-A-WFXR-Martinville-Video-Apr-Dec16,5741,Chick-Fil-A-WFXR-Martinville-Video-Apr-Dec16,8358,Chick-Fil-A-WFXR-RoanokeSpickySaladSneakyCow_22,https://platform.yashi.com/advertiser/creatives/preview/d3761b796ccbd9930c3a0d5271441e35552cefc94837b0e1f3b6e6a736d3b75f,244,2,175,154,139,119,1.7797,0.0000,0
2016-05-27,9436,Chick-Fil-A-WFXR,3366,Chick-Fil-A-WFXR-Martinville-Video-Apr-Dec16,5741,Chick-Fil-A-WFXR-Martinville-Video-Apr-Dec16,8357,Chick-Fil-A-WFXR-Roanoke0SpickySaladEquations_12,https://platform.yashi.com/advertiser/creatives/preview/34b5613c25e50d3b5c249617fd5c741b3c5f3852551877c6fdfeef6794f40429,250,3,154,150,133,123,1.8277,0.0000,0
2016-05-27,9436,Chick-Fil-A-WFXR,3673,Chick-Fil-A-WFXR-ValleyViewBlvd-Video-May-Dec16,6221,Chick-Fil-A-WFXR-ValleyViewBlvd-Video-May-Dec16,9099,Roanoke_SpickySaladSneakyCow_Chick-fil-A_2_VV,https://platform.yashi.com/advertiser/creatives/preview/6d9389f498fba063bf9049e0c5113c3a413070fe375b7524a81e0befafa7149f,262,1,178,162,161,148,2.0619,0.0000,7.074
2016-05-27,9436,Chick-Fil-A-WFXR,3673,Chick-Fil-A-WFXR-ValleyViewBlvd-Video-May-Dec16,6221,Chick-Fil-A-WFXR-ValleyViewBlvd-Video-May-Dec16,9098,Roanoke_SpickySaladEquations_Chick-fil-a_1_VV,https://platform.yashi.com/advertiser/creatives/preview/ead2e772ec72d00d746a91b055dd4675da6859c6241b0c17e0d6314b79288a21,256,1,184,167,166,142,2.0051,0.0000,6.912
2016-05-27,9436,Chick-Fil-A-WFXR,3675,"Chick-Fil-A-WFXR-Southern Hills-Video-May-Dec16",6223,"Chick-Fil-A-WFXR-Southern Hills-Video-May-Dec16",9102,Roanoke_SpickySaladSneakyCow_Chick-fil-A_2_VV,https://platform.yashi.com/advertiser/creatives/preview/ee51cf0fe8198793440c9e76e3cd51cf2894eda8bdbb25cb3fc7972dae6090a5,281,2,170,165,151,144,2.2494,0.0000,7.587
2016-05-27,9436,Chick-Fil-A-WFXR,3675,"Chick-Fil-A-WFXR-Southern Hills-Video-May-Dec16",6223,"Chick-Fil-A-WFXR-Southern Hills-Video-May-Dec16",9101,Roanoke_SpickySaladEquations_Chick-fil-a_1_VV,https://platform.yashi.com/advertiser/creatives/preview/816631da6161f3fd3e4b34053fd9c4dc7db0a87cb0329bb3116675c10dd04ccb,285,0,173,169,168,154,2.2873,0.0000,7.695
